22-01-2020,0,0,0,Germany
23-01-2020,0,0,0,Germany
24-01-2020,0,0,0,Germany
25-01-2020,0,0,0,Germany
26-01-2020,0,0,0,Germany
27-01-2020,1,0,0,Germany
28-01-2020,4,0,0,Germany
29-01-2020,4,0,0,Germany
30-01-2020,4,0,0,Germany
31-01-2020,5,0,0,Germany
01-02-2020,8,0,0,Germany
02-02-2020,10,0,0,Germany
03-02-2020,12,0,0,Germany
04-02-2020,12,0,0,Germany
05-02-2020,12,0,0,Germany
06-02-2020,12,0,0,Germany
07-02-2020,13,0,0,Germany
08-02-2020,13,0,0,Germany
09-02-2020,14,0,0,Germany
10-02-2020,14,0,0,Germany
11-02-2020,16,0,0,Germany
12-02-2020,16,0,0,Germany
13-02-2020,16,0,1,Germany
14-02-2020,16,0,1,Germany
15-02-2020,16,0,1,Germany
16-02-2020,16,0,1,Germany
17-02-2020,16,0,1,Germany
18-02-2020,16,0,12,Germany
19-02-2020,16,0,12,Germany
20-02-2020,16,0,12,Germany
21-02-2020,16,0,14,Germany
22-02-2020,16,0,14,Germany
23-02-2020,16,0,14,Germany
24-02-2020,16,0,14,Germany
25-02-2020,17,0,14,Germany
26-02-2020,27,0,15,Germany
27-02-2020,46,0,16,Germany
28-02-2020,48,0,16,Germany
29-02-2020,79,0,16,Germany
01-03-2020,130,0,16,Germany
02-03-2020,159,0,16,Germany
03-03-2020,196,0,16,Germany
04-03-2020,262,0,16,Germany
05-03-2020,482,0,16,Germany
06-03-2020,670,0,17,Germany
07-03-2020,799,0,18,Germany
08-03-2020,1040,0,18,Germany
09-03-2020,1176,2,18,Germany
10-03-2020,1457,2,18,Germany
11-03-2020,1908,3,25,Germany
12-03-2020,2078,3,25,Germany
13-03-2020,3675,7,46,Germany
14-03-2020,4585,9,46,Germany
15-03-2020,5795,11,46,Germany
16-03-2020,7272,17,67,Germany
17-03-2020,9257,24,67,Germany
18-03-2020,12327,28,105,Germany
19-03-2020,15320,44,113,Germany
20-03-2020,19848,67,180,Germany
21-03-2020,22213,84,233,Germany
22-03-2020,24873,94,266,Germany
23-03-2020,29056,123,266,Germany
24-03-2020,32986,157,3243,Germany
25-03-2020,37323,206,3547,Germany
26-03-2020,43938,267,5673,Germany
27-03-2020,50871,342,6658,Germany
28-03-2020,57695,433,8481,Germany
29-03-2020,62095,533,9211,Germany
30-03-2020,66885,645,13500,Germany
31-03-2020,71808,775,16100,Germany
01-04-2020,77872,920,18700,Germany
02-04-2020,84794,1107,22440,Germany
03-04-2020,91159,1275,24575,Germany
04-04-2020,96092,1444,26400,Germany
05-04-2020,100123,1584,28700,Germany
06-04-2020,103374,1810,28700,Germany
07-04-2020,107663,2016,36081,Germany
08-04-2020,113296,2349,46300,Germany
09-04-2020,118181,2607,52407,Germany
10-04-2020,122171,2767,53913,Germany
11-04-2020,124908,2736,57400,Germany
12-04-2020,127854,3022,60300,Germany
13-04-2020,130072,3194,64300,Germany
14-04-2020,131359,3294,68200,Germany
15-04-2020,134753,3804,72600,Germany
16-04-2020,137698,4052,77000,Germany
17-04-2020,141397,4352,83114,Germany
18-04-2020,143342,4459,85400,Germany
19-04-2020,145184,4586,88000,Germany
20-04-2020,147065,4862,91500,Germany
21-04-2020,148291,5033,95200,Germany
22-04-2020,150648,5279,99400,Germany
23-04-2020,153129,5575,103300,Germany
24-04-2020,154999,5760,109800,Germany
25-04-2020,156513,5877,109800,Germany
26-04-2020,157770,5976,112000,Germany
27-04-2020,158758,6126,114500,Germany
28-04-2020,159912,6314,117400,Germany
29-04-2020,161539,6467,120400,Germany
30-04-2020,163009,6623,123500,Germany
01-05-2020,164077,6736,126900,Germany
02-05-2020,164967,6812,129000,Germany
03-05-2020,165664,6866,130600,Germany
04-05-2020,166152,6993,132700,Germany
05-05-2020,167007,6993,135100,Germany
06-05-2020,168162,7275,139900,Germany
07-05-2020,169430,7392,141700,Germany
08-05-2020,170588,7510,141700,Germany
09-05-2020,171324,7549,143300,Germany
10-05-2020,171879,7569,144400,Germany
11-05-2020,172576,7661,145617,Germany
12-05-2020,173171,7738,147200,Germany
13-05-2020,174098,7861,148700,Germany
14-05-2020,174478,7884,150300,Germany
15-05-2020,175233,7897,151597,Germany
16-05-2020,175752,7938,152600,Germany
17-05-2020,176369,7962,154011,Germany
18-05-2020,176551,8003,155041,Germany
19-05-2020,177778,8081,155681,Germany
20-05-2020,178473,8144,156966,Germany
21-05-2020,179021,8203,158087,Germany
22-05-2020,179710,8228,159064,Germany
23-05-2020,179986,8261,159716,Germany
24-05-2020,180328,8283,160281,Germany
25-05-2020,180600,8309,161199,Germany
26-05-2020,181200,8372,161967,Germany
27-05-2020,181524,8428,162820,Germany
28-05-2020,182196,8470,163360,Germany
29-05-2020,182922,8504,164245,Germany
30-05-2020,183189,8530,164908,Germany
31-05-2020,183410,8540,165352,Germany
01-06-2020,183594,8555,165632,Germany
02-06-2020,183879,8563,166609,Germany
